epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2968.37,0.6606,0.47895,0.99903,0.7575,0.65846,0.72768,0.59854,0.78649,1.06226,1.07133,0.000643795,0.000643795,0.000643795
64,3020.16,0.6602,0.48071,0.99964,0.78692,0.63674,0.71511,0.58519,0.78501,1.09178,1.07693,0.000627292,0.000627292,0.000627292
65,3072.21,0.65394,0.4815,0.99688,0.72588,0.67363,0.71876,0.59284,0.7854,1.07246,1.07796,0.000610789,0.000610789,0.000610789
66,3124.1,0.65305,0.46883,0.99826,0.75366,0.66318,0.71635,0.58968,0.78662,1.09883,1.07945,0.000594286,0.000594286,0.000594286
67,3176.04,0.65025,0.46894,0.99348,0.73751,0.68467,0.73582,0.60812,0.78591,1.07094,1.07719,0.000577782,0.000577782,0.000577782
68,3228.38,0.65216,0.47518,0.99433,0.75958,0.66214,0.7367,0.60391,0.77964,1.06051,1.08023,0.000561279,0.000561279,0.000561279
69,3280.07,0.64272,0.46824,0.99577,0.75514,0.67376,0.72418,0.59589,0.78248,1.06235,1.08209,0.000544776,0.000544776,0.000544776
70,3332.59,0.63582,0.45537,0.98521,0.79292,0.63808,0.73104,0.60521,0.78445,1.07472,1.08239,0.000528272,0.000528272,0.000528272
71,3384.59,0.628,0.45791,0.98659,0.75532,0.66495,0.72272,0.59767,0.78696,1.08048,1.08212,0.000511769,0.000511769,0.000511769
72,3436.18,0.62477,0.44842,0.98204,0.74312,0.6741,0.71784,0.59234,0.79023,1.10007,1.08658,0.000495266,0.000495266,0.000495266
73,3488.13,0.62186,0.44821,0.98482,0.75029,0.67281,0.72526,0.59932,0.77617,1.09392,1.08169,0.000478762,0.000478762,0.000478762
74,3540.32,0.62067,0.44819,0.98024,0.79875,0.65409,0.72986,0.60473,0.77712,1.03568,1.07915,0.000462259,0.000462259,0.000462259
75,3592.14,0.61557,0.44241,0.97945,0.77522,0.6701,0.73628,0.6082,0.7795,1.06884,1.08505,0.000445756,0.000445756,0.000445756
76,3643.88,0.60708,0.43885,0.97777,0.78853,0.65668,0.72798,0.60257,0.77698,1.10932,1.08427,0.000429253,0.000429253,0.000429253
77,3695.73,0.6055,0.43326,0.97318,0.75365,0.67562,0.72974,0.60702,0.77362,1.1037,1.08436,0.000412749,0.000412749,0.000412749
78,3747.46,0.59747,0.43593,0.97384,0.77692,0.66638,0.72555,0.60069,0.77779,1.09198,1.08427,0.000396246,0.000396246,0.000396246
79,3799.95,0.5932,0.42203,0.97032,0.81171,0.64443,0.72933,0.60583,0.77193,1.07914,1.07757,0.000379743,0.000379743,0.000379743
80,3852.05,0.5989,0.42995,0.97533,0.80573,0.6658,0.7324,0.60806,0.77302,1.05467,1.08117,0.000363239,0.000363239,0.000363239
81,3903.94,0.59382,0.42666,0.96761,0.81806,0.65036,0.73277,0.60507,0.77374,1.06206,1.07605,0.000346736,0.000346736,0.000346736
82,3955.8,0.58914,0.41996,0.96643,0.77354,0.68397,0.73406,0.61261,0.77187,1.076,1.07148,0.000330233,0.000330233,0.000330233
83,4007.93,0.58586,0.41742,0.96571,0.77972,0.66672,0.72402,0.60219,0.77094,1.09192,1.07442,0.000313729,0.000313729,0.000313729
84,4058.27,0.58065,0.41491,0.96616,0.76206,0.66838,0.71845,0.59478,0.76695,1.08592,1.07361,0.000297226,0.000297226,0.000297226
